datetime,PV_kW,Load_kW,state,BEV_at_home,average_power_in_W,consumption,day_ahead_price[€/MWh]
2015-01-01 00:00:00,-0.0,0.1323333333333333,home,1,0.0,0.0,2.16
2015-01-01 00:15:00,0.0,0.1536,home,1,0.0,0.0,2.16
2015-01-01 00:30:00,0.0,0.0998666666666666,home,1,0.0,0.0,2.16
2015-01-01 00:45:00,0.0,0.1444,home,1,0.0,0.0,2.16
2015-01-01 01:00:00,0.0,0.2248,home,1,0.0,0.0,1.6
2015-01-01 01:15:00,0.0,0.5275333333333333,home,1,0.0,0.0,1.6
2015-01-01 01:30:00,0.0,0.9406666666666668,home,1,0.0,0.0,1.6
2015-01-01 01:45:00,0.0,0.4066,home,1,0.0,0.0,1.6
2015-01-01 02:00:00,0.0,0.3546666666666667,home,1,0.0,0.0,0.0
2015-01-01 02:15:00,0.0,0.67,home,1,0.0,0.0,0.0
2015-01-01 02:30:00,0.0,0.9138666666666668,home,1,0.0,0.0,0.0
2015-01-01 02:45:00,-0.0,0.3400666666666667,home,1,0.0,0.0,0.0
2015-01-01 03:00:00,0.0,0.4004,home,1,0.0,0.0,-0.01
2015-01-01 03:15:00,0.0,0.3491333333333333,home,1,0.0,0.0,-0.01
2015-01-01 03:30:00,0.0,0.3118666666666667,home,1,0.0,0.0,-0.01
2015-01-01 03:45:00,0.0,0.3530666666666666,home,1,0.0,0.0,-0.01
2015-01-01 04:00:00,0.0,0.2452666666666667,home,1,0.0,0.0,-0.01
2015-01-01 04:15:00,0.0,0.2798666666666666,home,1,0.0,0.0,-0.01
2015-01-01 04:30:00,0.0,0.2964,home,1,0.0,0.0,-0.01
2015-01-01 04:45:00,0.0,0.3635333333333334,home,1,0.0,0.0,-0.01
2015-01-01 05:00:00,0.0,0.3740666666666666,home,1,0.0,0.0,-0.06
2015-01-01 05:15:00,0.0,0.5979333333333333,home,1,0.0,0.0,-0.06
2015-01-01 05:30:00,-0.0,0.7022666666666667,home,1,0.0,0.0,-0.06
2015-01-01 05:45:00,0.0,0.4556666666666666,home,1,0.0,0.0,-0.06
2015-01-01 06:00:00,0.0,0.4804,home,1,0.0,0.0,-0.09
2015-01-01 06:15:00,0.0,0.6252000000000001,driving,0,0.0,0.9842545047795342,-0.09
2015-01-01 06:30:00,0.0,0.4194,shopping,0,0.0,0.0,-0.09
2015-01-01 06:45:00,0.0,0.2796,shopping,0,0.0,0.0,-0.09
2015-01-01 07:00:00,-0.0,0.4166666666666667,shopping,0,0.0,0.0,-0.01
2015-01-01 07:15:00,-0.0,0.3558666666666666,shopping,0,0.0,0.0,-0.01
2015-01-01 07:30:00,0.0,0.2046666666666666,shopping,0,0.0,0.0,-0.01
2015-01-01 07:45:00,0.0,0.1764,shopping,0,0.0,0.0,-0.01
2015-01-01 08:00:00,0.0161016931869523,0.1749333333333333,shopping,0,0.0,0.0,-0.01
2015-01-01 08:15:00,0.0,0.2198,shopping,0,0.0,0.0,-0.01
2015-01-01 08:30:00,0.0208898983847683,0.1875333333333333,shopping,0,0.0,0.0,-0.01
2015-01-01 08:45:00,0.1016254144984643,0.3526,shopping,0,0.0,0.0,-0.01
2015-01-01 09:00:00,0.223067471553974,0.2616666666666666,shopping,0,0.0,0.0,-0.04
2015-01-01 09:15:00,0.1918153480948985,0.2326666666666666,shopping,0,0.0,0.0,-0.04
2015-01-01 09:30:00,0.3300059913843076,0.1891999999999999,shopping,0,0.0,0.0,-0.04
2015-01-01 09:45:00,0.7919014439965875,0.189,shopping,0,0.0,0.0,-0.04
2015-01-01 10:00:00,1.1108310297684898,0.2513333333333333,shopping,0,0.0,0.0,-0.03
2015-01-01 10:15:00,1.0272834060082456,0.2422,shopping,0,0.0,0.0,-0.03
2015-01-01 10:30:00,0.5291969991760175,0.1604666666666666,shopping,0,0.0,0.0,-0.03
2015-01-01 10:45:00,0.7934422344532271,0.1947333333333333,shopping,0,0.0,0.0,-0.03
2015-01-01 11:00:00,1.3063059536070152,0.1965333333333333,shopping,0,0.0,0.0,-0.1
2015-01-01 11:15:00,2.3742689634728733,0.4806,shopping,0,0.0,0.0,-0.1
2015-01-01 11:30:00,0.836019167450137,1.1356666666666668,shopping,0,0.0,0.0,-0.1
2015-01-01 11:45:00,0.7404764821811426,1.0090666666666668,shopping,0,0.0,0.0,-0.1
2015-01-01 12:00:00,1.2363390277541555,0.3014,shopping,0,0.0,0.0,-0.05
2015-01-01 12:15:00,1.0948867047566908,1.0264666666666666,shopping,0,0.0,0.0,-0.05
2015-01-01 12:30:00,0.9479594586639716,1.1770666666666667,shopping,0,0.0,0.0,-0.05
2015-01-01 12:45:00,1.0998058746821548,1.6657333333333333,shopping,0,0.0,0.0,-0.05
2015-01-01 13:00:00,1.2002481640222915,0.6249333333333332,shopping,0,0.0,0.0,-0.1
2015-01-01 13:15:00,1.242415234436191,1.0491333333333337,driving,0,0.0,0.772404718515123,-0.1
2015-01-01 13:30:00,1.2213433645485794,1.1799333333333335,driving,0,0.0,0.772404718515123,-0.1
2015-01-01 13:45:00,0.9054181569099998,1.779,errands,0,0.0,0.0,-0.1
2015-01-01 14:00:00,0.4362170418960131,0.7312666666666666,errands,0,0.0,0.0,-1.01
2015-01-01 14:15:00,0.4540744618122753,0.3864666666666666,errands,0,0.0,0.0,-1.01
2015-01-01 14:30:00,0.3772232831121949,0.4057333333333333,errands,0,0.0,0.0,-1.01
2015-01-01 14:45:00,0.2832300500785076,0.636,errands,0,0.0,0.0,-1.01
